naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Cornus controversa,https: / www.ebben.nl / nl / treeebb / cocontro-cornus-controversa,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,10 - 12 m,10 - 12 m,halfopen,breed vaas,5A - 8B,bijen / vlinders / vogels / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt droogte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting / stedelijke beplanting,park / daktuin / grote tuin / begraafplaats,geen,,
Cornus controversa 'Pagoda',https: / www.ebben.nl / nl / treeebb / cocpagod-cornus-controversa-pagoda,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,4 - 8 m,4 - 8 m,halfopen,breed eirond,6B - 9A,bijen / vlinders / vogels / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt droogte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,ecobeplanting / stedelijke beplanting,park / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cotinus coggygria 'Royal Purple',https: / www.ebben.nl / nl / treeebb / cocrpurp-cotinus-coggygria-royal-purple,meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 4 m,halfopen,rond,6A - 8B,bijen / nectarwaarde 4 / pollenwaarde 4,droog / vochtig,verdraagt luchtverontreiniging,löss / lichte klei / zand / lemige grond,zon,voedselarm / matig voedselrijk,verdraagt wind,neutraal / basisch,ecobeplanting,"park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / verkeer, industrie",geen,,
Corylus colurna 'Te-Terra Red',https: / www.ebben.nl / nl / treeebb / cocttred-corylus-colurna-teterra-red,hoogstam bomen / meerstammige bomen / schaduwbomen,,,,10 - 12 m,15 - 20 m,gesloten,breed eirond,5B - 9B,vogels / kleine zoogdieren / mensen,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind,neutraal / basisch,,"straat / laan / park / bakken / containers / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Cornus controversa 'Variegata',https: / www.ebben.nl / nl / treeebb / cocvarie-cornus-controversa-variegata,hoogstam bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,5 - 8 m,5 - 8 m,open,breed vaas / breed piramidaal,5A - 8B,bijen / vlinders / vogels / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt droogte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,ecobeplanting / stedelijke beplanting,park / grote tuin / begraafplaats,geen,,
Cornus 'Eddie's White Wonder',https: / www.ebben.nl / nl / treeebb / coewwond-cornus-eddies-white-wonder,hoogstam bomen / beveerde bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,3 - 5 m,4 - 5 m,open,ovaal / piramidaal,6B - 11A,bijen / vlinders,vochtig,,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus florida 'Cherokee Chief',https: / www.ebben.nl / nl / treeebb / cofcchie-cornus-florida-cherokee-chief,meerstammige bomen,,meerstammig parasol,,2 - 5 m,2 - 6 m,halfopen,rond / breed piramidaal,5B - 8A,bijen / vlinders / kleine zoogdieren / vogels,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur,,park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus florida,https: / www.ebben.nl / nl / treeebb / coflorid-cornus-florida,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,4 - 6 m,4 - 6 m,halfopen,afgeplat rond,6B - 9B,bijen / vlinders / vogels / kleine zoogdieren,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,,park / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus florida 'Rainbow',https: / www.ebben.nl / nl / treeebb / cofrainb-cornus-florida-rainbow,solitair heesters,,meerstammig parasol,,2 - 4 m,2 - 3 m,open,afgeplat rond,5B - 8A,bijen / vlinders / kleine zoogdieren / vogels,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur,,park / groenstrook / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cotoneaster franchetii,https: / www.ebben.nl / nl / treeebb / cofranch-cotoneaster-franchetii,bosplantsoen / solitair heesters,,,,2 - 3 m,1 - 2 m,,,6A - 7B,bijen / vlinders / vogels / nectarwaarde 1 / pollenwaarde 1,droog / vochtig,,zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,,,park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,,,
