naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Platanus orientalis 'Mirkovec',https: / www.ebben.nl / nl / treeebb / plomirko-platanus-orientalis-mirkovec,hoogstam bomen,,,,4 - 8 m,6 - 10 m,gesloten,rond,6B - 9B,,vochtig,verdraagt strooizout,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,straat / laan / plein / park / groenstrook / grote tuin / kleine tuin / begraafplaats,geen / open / dicht,,
Platanus orientalis,https: / www.ebben.nl / nl / treeebb / plorient-platanus-orientalis,hoogstam bomen / meerstammige bomen / schaduwbomen,,dak,,15 - 25 m,18 - 30 m,gesloten / halfopen,rond / breed ovaal,6B - 9A,,droog / vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte / verdraagt kortstondige overstroming,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,solide beplanting / stedelijke beplanting,"laan / plein / park / grote tuin / begraafplaats / verkeer, industrie / wadi",geen / open / dicht,,
Pleioblastus pygmaeus,https: / www.ebben.nl / nl / treeebb / plpygmae-pleioblastus-pygmaeus,,onderbeplanting / bodembedekker / grassen en bamboes,,,"0,25 - 1 m","0,25 - 0,5 m",,,8A - 11A,,vochtig,verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal / basisch,,bakken / containers / grote tuin,geen / open,,
Platanus 'Vallis Clausa',https: / www.ebben.nl / nl / treeebb / plvclaus-platanus-vallis-clausa,hoogstam bomen / schaduwbomen,,,,18 - 25 m,20 - 30 m,,piramidaal,6A - 8B,,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind / verdraagt wind,,,laan / park / groenstrook / grote tuin,geen / open,,
Populus alba,https: / www.ebben.nl / nl / treeebb / poalba-populus-alba,hoogstam bomen / meerstammige bomen / bosplantsoen,,knot,,15 - 20 m,15 - 20 m,halfopen,breed eirond,3A - 9B,vlinders,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal,landschappelijke beplanting / solide beplanting,"laan / park / grote tuin / verkeer, industrie / landschap / windsingel / wadi / kustgebied",geen,2a,ingeburgerd
Populus alba 'Nivea',https: / www.ebben.nl / nl / treeebb / poanivea-populus-alba-nivea,hoogstam bomen / meerstammige bomen,,,,15 - 20 m,15 - 20 m,halfopen,rond,3A - 9B,vlinders,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,landschappelijke beplanting / solide beplanting,"park / verkeer, industrie / landschap / windsingel / kustgebied",geen,,
Populus alba 'Raket',https: / www.ebben.nl / nl / treeebb / poaraket-populus-alba-raket,hoogstam bomen / meerstammige bomen,,,,10 - 12 m,15 - 20 m,halfopen,zuil / breed piramidaal,3A - 9B,vlinders,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,solide beplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Populus 'Astria',https: / www.ebben.nl / nl / treeebb / poastria-populus-astria,hoogstam bomen / meerstammige bomen,,,,5 - 10 m,10 - 18 m,halfopen,ovaal,2A - 7B,vlinders,droog / vochtig / nat,verdraagt strooizout / verdraagt luchtverontreiniging / verdraagt kortstondige overstroming,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,landschappelijke beplanting,laan / park / grote tuin / begraafplaats / landschap / windsingel / kustgebied,geen,,
Populus balsamifera,https: / www.ebben.nl / nl / treeebb / pobalsam-populus-balsamifera,hoogstam bomen / bosplantsoen,,,,8 - 10 m,18 - 20 m,halfopen,ovaal,3A - 7B,bijen,droog / vochtig / nat / zeer nat,verdraagt kortstondige overstroming,löss / zavel / veen / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal,landschappelijke beplanting,park / grote tuin / begraafplaats / landschap,geen,,
Populus x berolinensis 'Berlin',https: / www.ebben.nl / nl / treeebb / pobberli-populus-x-berolinensis-berlin,hoogstam bomen / meerstammige bomen,,,,8 - 10 m,20 - 25 m,halfopen,smal ovaal,3A - 8B,,vochtig / nat,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon,voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal,landschappelijke beplanting,"laan / park / grote tuin / verkeer, industrie / landschap / windsingel",geen / open,,
Populus x berolinensis,https: / www.ebben.nl / nl / treeebb / poberoli-populus-x-berolinensis,hoogstam bomen / meerstammige bomen,,,,8 - 10 m,20 - 25 m,halfopen,eirond,3A - 8B,,vochtig / nat,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon,voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,landschappelijke beplanting,"laan / park / grote tuin / begraafplaats / verkeer, industrie / landschap / windsingel",geen / open,,
Populus x canadensis,https: / www.ebben.nl / nl / treeebb / pocanade-populus-x-canadensis,hoogstam bomen / bosplantsoen,,,,15 - 20 m,25 - 30 m,halfopen,rond,4A - 9B,,vochtig,verdraagt luchtverontreiniging,zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"laan / park / grote tuin / verkeer, industrie / landschap / kustgebied",geen,,
Populus x canescens,https: / www.ebben.nl / nl / treeebb / pocanesc-populus-x-canescens,hoogstam bomen / meerstammige bomen / bosplantsoen,,knot,,15 - 20 m,20 - 25 m,halfopen,rond,4B - 8B,,vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,neutraal / basisch,landschappelijke beplanting,"laan / park / verkeer, industrie / landschap / windsingel / kustgebied",geen / open / dicht,,
Populus x canescens 'De Moffart',https: / www.ebben.nl / nl / treeebb / pocdmoff-populus-x-canescens-de-moffart,hoogstam bomen / meerstammige bomen,,,,12 - 18 m,20 - 25 m,halfopen,breed ovaal,4B - 8B,,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"laan / park / grote tuin / verkeer, industrie / landschap / kustgebied",geen / open / dicht,,
Populus x canadensis 'Ellert',https: / www.ebben.nl / nl / treeebb / poceller-populus-x-canadensis-ellert,hoogstam bomen,,,,15 - 20 m,20 - 25 m,halfopen,ovaal,4A - 9B,,vochtig,,zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,park / landschap / windsingel / kustgebied,geen,,
Populus x canescens 'Enniger',https: / www.ebben.nl / nl / treeebb / pocennig-populus-x-canescens-enniger,hoogstam bomen,,,,15 - 20 m,15 - 20 m,halfopen,rond,5A - 8B,,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"laan / park / verkeer, industrie / landschap / windsingel / kustgebied",geen / open,,
Populus x canadensis 'Hees',https: / www.ebben.nl / nl / treeebb / pochees-populus-x-canadensis-hees,hoogstam bomen,,,,15 - 20 m,20 - 25 m,halfopen,rond,4A - 9B,,vochtig,,zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,park / landschap / windsingel / kustgebied,geen,,
Populus x canescens 'Honthorpa',https: / www.ebben.nl / nl / treeebb / pochonth-populus-x-canescens-honthorpa,hoogstam bomen,,,,5 - 10 m,15 - 20 m,halfopen,smal piramidaal,5A - 8B,,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"laan / park / verkeer, industrie / landschap / windsingel / kustgebied",geen / open / dicht,,
Populus x canadensis 'Koster',https: / www.ebben.nl / nl / treeebb / pockoste-populus-x-canadensis-koster,hoogstam bomen,,,,15 - 20 m,20 - 25 m,gesloten,piramidaal,4A - 9B,,vochtig,,löss / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,park / landschap / windsingel / kustgebied,geen,,
Populus x canadensis 'Marilandica',https: / www.ebben.nl / nl / treeebb / pocmaril-populus-x-canadensis-marilandica,hoogstam bomen,,,,15 - 20 m,20 - 25 m,halfopen,rond,4A - 9B,,vochtig,verdraagt strooizout,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt matige wind,neutraal / basisch,landschappelijke beplanting,park / landschap,geen,,
Populus x canadensis 'Robusta',https: / www.ebben.nl / nl / treeebb / pocrobus-populus-x-canadensis-robusta,hoogstam bomen,,,,10 - 15 m,20 - 25 m,gesloten,breed ovaal,4A - 9B,,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,landschap / windsingel / kustgebied,,,
Populus x canescens 'Schijndel',https: / www.ebben.nl / nl / treeebb / pocschij-populus-x-canescens-schijndel,hoogstam bomen,,,,15 - 20 m,15 - 20 m,halfopen,rond,5A - 8B,,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"laan / park / verkeer, industrie / landschap / windsingel / kustgebied",geen / open / dicht,,
Populus x canescens 'Schubu',https: / www.ebben.nl / nl / treeebb / pocschub-populus-x-canescens-schubu,hoogstam bomen,,,,10 - 15 m,15 - 20 m,halfopen,ovaal,5A - 8B,,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"laan / park / verkeer, industrie / landschap / windsingel / kustgebied",geen / open / dicht,,
Populus x canadensis 'Serotina',https: / www.ebben.nl / nl / treeebb / pocserot-populus-x-canadensis-serotina,hoogstam bomen,,,,0 - 0 m,20 - 25 m,halfopen,rond,4A - 9B,,vochtig,,löss / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt matige wind,,landschappelijke beplanting,landschap,,,
Populus x canadensis 'Spijk',https: / www.ebben.nl / nl / treeebb / pocspijk-populus-x-canadensis-spijk,hoogstam bomen,,,,15 - 20 m,20 - 25 m,halfopen,eirond,4A - 9B,,vochtig,,zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,park / landschap / windsingel / kustgebied,geen,,
Populus x canescens 'Witte van Haamstede',https: / www.ebben.nl / nl / treeebb / pocwhaam-populus-x-canescens-witte-van-haamstede,hoogstam bomen,,,,15 - 20 m,15 - 20 m,halfopen,breed piramidaal,4B - 8B,,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"laan / park / verkeer, industrie / landschap / windsingel / kustgebied",geen / open / dicht,,
Potentilla fruticosa 'Abbotswood',https: / www.ebben.nl / nl / treeebb / pofabbot-potentilla-fruticosa-abbotswood,solitair heesters,onderbeplanting,,,"1 - 1,3 m","0,8 - 1 m",gesloten,breed vaas,3A - 8B,bijen / vlinders / nectarwaarde 3 / pollenwaarde 3,vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal,ecobeplanting,park / groenstrook / grote tuin / kleine tuin / patiotuin / kustgebied,geen,,
Potentilla fruticosa 'Elizabeth',https: / www.ebben.nl / nl / treeebb / pofeliza-potentilla-fruticosa-elizabeth,solitair heesters,,,,"1 - 1,2 m","0,7 - 0,8 m",gesloten,breed vaas,3A - 8B,bijen / nectarwaarde 3 / pollenwaarde 3,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal,,park / groenstrook / grote tuin / kleine tuin / patiotuin,geen,,
Potentilla fruticosa 'Goldfinger',https: / www.ebben.nl / nl / treeebb / pofgoldf-potentilla-fruticosa-goldfinger,solitair heesters,onderbeplanting,,,"0,5 - 1 m","1 - 1,5 m",,,3A - 8B,bijen / vlinders / nectarwaarde 3 / pollenwaarde 3,vochtig,verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,ecobeplanting,"park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Potentilla fruticosa 'Klondike',https: / www.ebben.nl / nl / treeebb / pofklond-potentilla-fruticosa-klondike,solitair heesters,,,,"0,8 - 1,3 m","0,8 - 1,2 m",gesloten,breed vaas,3A - 8B,bijen / nectarwaarde 3 / pollenwaarde 3,droog,,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind,zuur / neutraal,,park / groenstrook / grote tuin / kleine tuin / patiotuin,geen,,
Potentilla fruticosa,https: / www.ebben.nl / nl / treeebb / pofrutic-potentilla-fruticosa,solitair heesters,,,,"1 - 1,5 m","1 - 1,5 m",gesloten,breed vaas,2A - 8B,bijen / nectarwaarde 3 / pollenwaarde 3,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal,,park / groenstrook / grote tuin / kleine tuin,,,
Populus x generosa 'Beaupré',https: / www.ebben.nl / nl / treeebb / pogbeaup-populus-x-generosa-beaupre,hoogstam bomen,,,,15 - 18 m,20 - 25 m,halfopen,eirond,4A - 9B,,vochtig / nat,,löss / zavel / lichte klei / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind,neutraal,,park / groenstrook / landschap,geen,,
Populus x generosa 'Donk',https: / www.ebben.nl / nl / treeebb / pogdonk-populus-x-generosa-donk,hoogstam bomen,,,,6 - 10 m,15 - 25 m,gesloten,eirond,5A - 8B,,vochtig / nat,,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind,,,park / landschap,geen,,
Populus x generosa 'Unal',https: / www.ebben.nl / nl / treeebb / pogunal-populus-x-generosa-unal,hoogstam bomen,,,,8 - 12 m,15 - 20 m,halfopen,piramidaal,4A - 9B,,vochtig / nat,,zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt matige wind,neutraal,,park / groenstrook / landschap,geen,,
Populus x jackii 'Aurora',https: / www.ebben.nl / nl / treeebb / pojauror-populus-x-jackii-aurora,hoogstam bomen,,,,8 - 10 m,12 - 15 m,gesloten,ovaal,2A - 7B,,droog / vochtig,,lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind / verdraagt wind,zuur / neutraal / basisch,,park / grote tuin / landschap,,,
Populus lasiocarpa,https: / www.ebben.nl / nl / treeebb / polasioc-populus-lasiocarpa,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,10 - 15 m,10 - 15 m,open,rond / breed eirond,6A - 9B,,vochtig / nat,,löss / zavel / veen / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,,park / grote tuin,geen,,
Polygonatum multiflorum,https: / www.ebben.nl / nl / treeebb / pomultif-polygonatum-multiflorum,,onderbeplanting / bodembedekker / vaste planten,,,"0,6 - 0,8 m","0,25 - 0,9 m",,,3A - 8A,bijen / vogels,vochtig,verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur,schaduwtolerant / ecobeplanting,"park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / landschap / ecologische zone",geen,1a,inheems
Populus nigra 'Afghanica',https: / www.ebben.nl / nl / treeebb / ponafgha-populus-nigra-afghanica,hoogstam bomen,,,,3 - 5 m,15 - 18 m,gesloten,zuil,2B - 8B,vlinders,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt matige wind / verdraagt wind,neutraal / basisch,landschappelijke beplanting,"laan / park / groenstrook / verkeer, industrie / landschap",geen / open,,
Populus nigra 'Brandaris',https: / www.ebben.nl / nl / treeebb / ponbrand-populus-nigra-brandaris,hoogstam bomen,,,,10 - 15 m,15 - 20 m,halfopen,ovaal,4A - 8B,vlinders,vochtig / nat,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"park / groenstrook / verkeer, industrie / landschap / kustgebied",geen,,
Populus nigra,https: / www.ebben.nl / nl / treeebb / ponigra-populus-nigra,hoogstam bomen / bosplantsoen,,knot,,10 - 15 m,25 - 30 m,halfopen,breed piramidaal,4A - 8B,vlinders,vochtig / nat,verdraagt strooizout / verdraagt luchtverontreiniging / verdraagt kortstondige overstroming,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,"park / verkeer, industrie / landschap / windsingel / wadi / kustgebied",geen / open,1a,inheems
Populus nigra 'Italica',https: / www.ebben.nl / nl / treeebb / ponitali-populus-nigra-italica,hoogstam bomen / beveerde bomen,,,,3 - 5 m,20 - 25 m,halfopen,zuil,4A - 9B,vlinders,vochtig / nat,verdraagt strooizout,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,neutraal,landschappelijke beplanting,park / groenstrook / landschap / windsingel / kustgebied,geen,,
Populus nigra 'Loenen',https: / www.ebben.nl / nl / treeebb / ponloene-populus-nigra-loenen,hoogstam bomen,,,,10 - 15 m,20 - 25 m,halfopen,rond,4B - 8B,vlinders,vochtig / nat,verdraagt strooizout,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,landschap / kustgebied,,,
Populus nigra 'Vereecken',https: / www.ebben.nl / nl / treeebb / ponveree-populus-nigra-vereecken,hoogstam bomen / beveerde bomen,,,,5 - 10 m,20 - 25 m,halfopen,zuil,4A - 8B,vlinders,vochtig / nat,verdraagt strooizout,zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,park / grote tuin / landschap / windsingel / kustgebied,geen,,
Populus nigra 'Wolterson',https: / www.ebben.nl / nl / treeebb / ponwolte-populus-nigra-wolterson,hoogstam bomen,,,,10 - 15 m,15 - 20 m,halfopen,ovaal,4A - 8B,vlinders,vochtig / nat,verdraagt strooizout,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,landschappelijke beplanting,park / landschap / kustgebied,geen,,
Populus tremuloides,https: / www.ebben.nl / nl / treeebb / poptremu-populus-tremuloides,hoogstam bomen / meerstammige bomen,,,,7 - 9 m,20 - 25 m,halfopen,ovaal,2A - 8B,,vochtig,verdraagt droogte,zavel / lichte klei / zand / lemige grond,zon,voedselrijk,,,landschappelijke beplanting / stedelijke beplanting,park / groenstrook / grote tuin / landschap,geen,,
Populus simonii 'Fastigiata',https: / www.ebben.nl / nl / treeebb / posfasti-populus-simonii-fastigiata,hoogstam bomen / beveerde bomen,,,,5 - 10 m,10 - 15 m,halfopen,breed ovaal,4A - 6B,,droog / vochtig / nat,verdraagt luchtverontreiniging / verdraagt hitte / verdraagt kortstondige overstroming,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind,neutraal / basisch,landschappelijke beplanting,"laan / plein / parkeerplaats / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / landschap",geen / open,,
Populus simonii,https: / www.ebben.nl / nl / treeebb / posimoni-populus-simonii,hoogstam bomen,,,,6 - 8 m,12 - 15 m,gesloten,breed eirond,4A - 6B,,droog / vochtig,verdraagt luchtverontreiniging / verdraagt hitte / verdraagt kortstondige overstroming,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind,neutraal / basisch,landschappelijke beplanting,"laan / plein / parkeerplaats / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / landschap",geen / open,,
Populus trichocarpa 'Blom',https: / www.ebben.nl / nl / treeebb / potblom-populus-trichocarpa-blom,hoogstam bomen,,,,10 - 12 m,12 - 15 m,halfopen,breed ovaal,5A - 8B,,vochtig / nat,verdraagt kortstondige overstroming,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal,landschappelijke beplanting,park / landschap,geen,,
Populus trichocarpa 'Columbia River',https: / www.ebben.nl / nl / treeebb / potcrive-populus-trichocarpa-columbia-river,hoogstam bomen,,,,5 - 9 m,15 - 25 m,gesloten,smal ovaal,5A - 8B,,vochtig / nat,,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt matige wind,zuur / neutraal,landschappelijke beplanting,park / grote tuin / begraafplaats / landschap,geen,,
Populus tremula 'Erecta',https: / www.ebben.nl / nl / treeebb / poterect-populus-tremula-erecta,hoogstam bomen / beveerde bomen,,,,1 - 2 m,10 - 15 m,halfopen,zuil,2A - 6B,vlinders,droog / vochtig / nat,verdraagt strooizout / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,,laan / park / groenstrook / grote tuin / begraafplaats / landschap / wadi / kustgebied,geen,,
Populus tremula 'Pendula',https: / www.ebben.nl / nl / treeebb / potpendu-populus-tremula-pendula,hoogstam bomen / karakteristieke bomen,,,,6 - 8 m,4 - 6 m,open,breed treur,2A - 7B,vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,,"park / grote tuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Populus tremula,https: / www.ebben.nl / nl / treeebb / potremul-populus-tremula,hoogstam bomen / beveerde bomen / meerstammige bomen / bosplantsoen,,,,8 - 12 m,18 - 25 m,halfopen,ovaal,2A - 7B,vlinders,droog / vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,landschappelijke beplanting / solide beplanting,"park / groenstrook / grote tuin / verkeer, industrie / landschap / ecologische zone / windsingel / wadi / kustgebied",geen,1a,inheems
Populus trichocarpa,https: / www.ebben.nl / nl / treeebb / potricho-populus-trichocarpa,hoogstam bomen / meerstammige bomen / bosplantsoen,,,,10 - 15 m,25 - 30 m,halfopen,rond / breed ovaal,5A - 8B,,vochtig / nat,verdraagt kortstondige overstroming,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal,landschappelijke beplanting,park / grote tuin / landschap,geen,,
Populus tremula 'Tapiau',https: / www.ebben.nl / nl / treeebb / pottapia-populus-tremula-tapiau,hoogstam bomen / beveerde bomen / meerstammige bomen,,,,3 - 5 m,10 - 15 m,halfopen,piramidaal,2A - 7B,vlinders,droog / vochtig / nat,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,landschappelijke beplanting / solide beplanting,"park / groenstrook / grote tuin / verkeer, industrie / landschap / ecologische zone / windsingel / wadi / kustgebied",geen,,
Prunus avium 'Bigarreau Napoléon',https: / www.ebben.nl / nl / treeebb / prabnapo-prunus-avium-bigarreau-napoleon,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,8 - 12 m,10 - 15 m,halfopen,breed eirond,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt matige wind,neutraal / basisch,voedselbos / ecobeplanting,park / grote tuin / begraafplaats / landschap,,,
Prunus 'Accolade',https: / www.ebben.nl / nl / treeebb / praccola-prunus-accolade,hoogstam bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,3 - 5 m,5 - 7 m,halfopen,breed vaas,6A - 9B,,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,,straat / laan / plein / park / groenstrook / grote tuin,geen / open,,
