naam,wetenschappelijke_naam,inheems,standplaats_licht,vocht,bodem,ellenberg_l,ellenberg_l_min,ellenberg_l_max,ellenberg_f,ellenberg_f_min,ellenberg_f_max,ellenberg_t,ellenberg_t_min,ellenberg_t_max,ellenberg_n,ellenberg_n_min,ellenberg_n_max,ellenberg_r,ellenberg_r_min,ellenberg_r_max,ellenberg_s,ellenberg_s_min,ellenberg_s_max,hoogte,breedte,winterhardheidszone,grondsoorten
Groenlandia (G),Groenlandia,,,,,,,,,,,,,,,,,,,,,,,,,,
Paarbladig fonteinkruid,Groenlandia densa,ja,halfschaduw / zon,zeer nat,,7.0,6.0,8.0,12.0,12.0,12.0,5.285714285714286,2.0,7.0,4.857142857142857,3.0,7.0,7.142857142857143,5.0,8.0,0.3333333333333333,0.0,1.0,,,,
,Guillenia lasiophylla,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizotia (G),Guizotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Gingellikruid,Guizotia abyssinica,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guizotia scabra,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guizotia schimperi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gunnera,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gunnera manicata,,,,,,,,,,,,,,,,,,,,,,,,,,
Gewone gunnera,Gunnera tinctoria,,,,,,,,,,,,,,,,,,,,,,,,,,
Muggenorchis (G),Gymnadenia,,,,,,,,,,,,,,,,,,,,,,,,,,
Grote muggenorchis,Gymnadenia conopsea,ja,zon,droog / vochtig / nat,,7.5625,7.0,9.0,6.166666666666667,4.0,7.0,4.597222222222221,4.0,6.0,2.7142857142857144,1.0,3.0,7.357142857142857,6.0,8.0,0.0,0.0,0.0,,,,
Dichte / Grote muggenorchis,Gymnadenia conopsea/densiflora,,,,,,,,,,,,,,,,,,,,,,,,,,
Dichte muggenorchis,Gymnadenia densiflora,ja,,,,,,,,,,,,,,,,,,,,,,,,,
,Gymnadenia densiflora var. friesica,,,,,,,,,,,,,,,,,,,,,,,,,,
Driehoeksvaren (G),Gymnocarpium,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebogen driehoeksvaren,Gymnocarpium dryopteris,ja,schaduw / halfschaduw,vochtig / nat / zeer nat,,3.125,2.0,4.0,6.555555555555555,5.0,12.0,4.625,3.0,9.0,4.857142857142857,4.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,,,,
Rechte driehoeksvaren,Gymnocarpium robertianum,ja,halfschaduw / zon,droog / vochtig,,6.071428571428571,4.0,8.0,4.65625,3.0,6.25,4.321428571428571,4.0,5.0,3.5,1.0,5.0,7.833333333333333,6.0,9.0,0.0,0.0,0.0,,,,
Smalle theeplant,Gymnocoronis spilanthoides,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsophila (G),Gypsophila,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gypsophila elegans,,zon,droog / vochtig,,8.5,8.5,8.5,4.5,4.5,4.5,6.625,6.25,7.0,,,,,,,,,,,,,
Gipskruid,Gypsophila muralis,ja,zon,vochtig / nat / zeer nat,,7.916666666666667,7.0,8.5,6.729166666666667,5.75,8.0,6.142857142857143,4.5,7.0,2.8,2.0,4.0,4.0,3.0,6.0,0.5,0.0,2.0,,,,
Pluimgipskruid,Gypsophila paniculata,,zon,zeer droog / droog,,8.666666666666666,8.0,9.0,3.0,2.0,4.0,6.5,5.0,8.0,3.0,2.0,4.0,7.5,6.0,9.0,0.0,0.0,0.0,,,,
,Gypsophila perfoliata,,zon,vochtig,,8.25,8.0,8.5,4.75,4.75,4.75,5.75,5.5,6.0,,,,,,,,,,,,,
,Gypsophila pilosa,,,,,,,,,,,,,,,,,,,,,,,,,,
Kruipend gipskruid,Gypsophila repens,,zon,droog / vochtig,,8.75,8.0,9.0,4.6,3.0,5.0,3.3333333333333335,3.0,4.0,1.75,1.0,2.0,8.0,7.0,9.0,0.0,0.0,0.0,,,,
,Hackelia hirsuta,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hainardia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hainardia cylindrica,,zon,zeer droog / droog / vochtig,,8.333333333333334,8.0,9.0,3.6666666666666665,1.0,5.0,9.0,7.0,11.0,5.0,4.0,6.0,7.333333333333333,5.0,9.0,3.0,0.0,6.0,,,,
Hakea,Hakea sericea,,,,,,,,,,,,,,,,,,,,,,,,,,
,Halerpestes cymbalaria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Halesia,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergsneeuwklokjesboom,Halesia carolina,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,6A,Löss | Zavel | Veen | Zand | Leem
,Hamamelis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hamamelis virginiana,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5B,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Hammarbya (G),Hammarbya,,,,,,,,,,,,,,,,,,,,,,,,,,
Veenmosorchis,Hammarbya paludosa,ja,zon,nat / zeer nat,,8.285714285714286,7.0,9.0,8.75,8.0,9.0,4.785714285714286,3.0,6.0,1.8333333333333333,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,
,Hebenstretia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hebenstretia dentata,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hedera,,,,,,,,,,,,,,,,,,,,,,,,,,
Algerijnse klimop,Hedera algeriensis,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaukasische klimop,Hedera colchica,,,,,,,,,,,,,,,,,,,,,,,,,,
Klimop,Hedera helix,ja,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,5A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Atlantische klimop,Hedera hibernica,,,,,,,,,,,,,,,,,,,,,,,0.3,20.0,5A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
,Hedypnois rhagadioloides,,zon,droog,,8.0,7.0,9.0,3.5,3.0,4.0,9.666666666666666,9.0,11.0,5.875,5.0,7.0,7.75,7.0,9.0,0.375,0.0,1.0,,,,
,Hedypnois rhagadioloides subsp. tubaeformis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hedysarum,,,,,,,,,,,,,,,,,,,,,,,,,,
Rode hanenkop,Hedysarum coronarium,,zon,zeer droog / droog / vochtig / nat,,8.0,7.0,9.0,4.666666666666667,2.0,7.0,9.0,8.0,12.0,5.0,4.0,7.0,8.0,7.0,9.0,1.0,0.0,3.0,,,,
,Hedysarum multijugum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hedysarum spinosissimum,,zon,zeer droog / droog,,8.5,8.0,9.0,2.25,2.0,3.0,9.75,8.0,11.0,4.5,2.0,7.0,7.0,3.0,9.0,1.0,0.0,2.0,,,,
,Helenium,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helenium autumnale,,,,,,,,,,,,,,,,,,,,,,,,,,
Zonneroosje (G),Helianthemum,,,,,,,,,,,,,,,,,,,,,,,,,,
Geel zonneroosje,Helianthemum nummularium,ja,zon,zeer droog / droog / vochtig,,7.850925925925925,7.0,9.0,3.483333333333333,2.0,6.0,4.952083333333333,2.0,8.0,2.1375,1.0,3.0,7.45625,7.0,9.0,0.0,0.0,0.0,,,,
,Helianthus,,,,,,,,,,,,,,,,,,,,,,,,,,
Zonnebloem,Helianthus annuus,,zon,droog / vochtig / nat,,7.8,7.0,8.0,5.3,4.0,6.5,6.95,5.75,9.0,7.25,7.0,8.0,6.333333333333333,5.0,8.0,0.0,0.0,0.0,,,,
,Helianthus cucumerifolius,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helianthus debilis,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaste zonnebloem,Helianthus decapetalus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helianthus diffusus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helianthus giganteus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helianthus petiolaris,,,,,,,,,,,,,,,,,,,,,,,,,,
Stijve aardpeer,Helianthus rigidus,,,,,,,,,,,,,,,,,,,,,,,,,,
Aardpeer,Helianthus tuberosus,ja,zon,vochtig / nat,,7.785714285714286,7.0,8.0,6.357142857142857,6.0,7.0,6.892857142857143,5.25,8.0,7.666666666666667,6.0,8.0,7.2,7.0,8.0,0.0,0.0,0.0,,,,
Stijve zonnebloem,Helianthus x laetiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,
Helichrysum (G),Helichrysum,,,,,,,,,,,,,,,,,,,,,,,,,,
Strobloem,Helichrysum arenarium,ja,zon,zeer droog / droog,,8.125,7.5,9.0,2.5625,2.0,4.25,6.25,5.25,8.0,1.3333333333333333,1.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,,,,
,Helichrysum bracteatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerrieplant,Helichrysum italicum,,zon,droog,,8.333333333333334,8.0,9.0,4.0,4.0,4.0,8.666666666666666,8.0,9.0,3.0,2.0,4.0,7.333333333333333,7.0,8.0,1.3333333333333333,0.0,4.0,,,,
Kooigoed,Helichrysum petiolare,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helictochloa,,,,,,,,,,,,,,,,,,,,,,,,,,
Beemdhaver,Helictochloa pratensis,ja,zon,zeer droog / droog,,7.392857142857142,7.0,9.0,2.9682539682539675,1.0,4.0,5.9017857142857135,5.0,8.0,1.9642857142857137,1.0,3.0,6.942857142857141,6.0,8.0,0.0,0.0,0.0,,,,
Veldhaver (G),Helictotrichon,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heliophila,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heliophila coronopifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heliopsis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heliopsis helianthoides,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heliopsis helianthoides var. scabra,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heliotropium,,,,,,,,,,,,,,,,,,,,,,,,,,
Europese heliotroop,Heliotropium europaeum,,zon,zeer droog / droog / vochtig,,8.0,7.0,9.0,3.357142857142857,1.0,5.0,8.25,7.0,11.0,6.428571428571429,6.0,8.0,7.714285714285714,7.0,8.0,0.8333333333333334,0.0,3.0,,,,
,Helipterum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helipterum manglesii,,,,,,,,,,,,,,,,,,,,,,,,,,
Nieskruid (G),Helleborus,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsicaans nieskruid,Helleborus argutifolius,nee,,,,,,,,,,,,,,,,,,,,,,,,,
,Helleborus cyclophyllus,,,,,,,,,,,,,,,,,,,,,,,,,,
Stinkend nieskruid,Helleborus foetidus,ja,halfschaduw / zon,zeer droog / droog,,5.5,5.0,8.0,3.6666666666666665,2.0,4.0,6.666666666666667,6.0,8.0,2.8333333333333335,2.0,3.0,8.166666666666666,8.0,9.0,0.0,0.0,0.0,,,,
Mallorcaanse nieskruid,Helleborus lividus,,halfschaduw / zon,droog,,6.5,5.0,8.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,,,,
Kerstroos,Helleborus niger,,schaduw / halfschaduw,droog / vochtig,,4.5,3.0,6.0,4.95,4.0,5.75,5.208333333333333,5.0,6.0,4.0,4.0,4.0,8.0,8.0,8.0,0.0,0.0,0.0,,,,
Oosters nieskruid,Helleborus orientalis,,zon,vochtig,,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,,,,
Wrangwortel,Helleborus viridis,ja,schaduw / halfschaduw / zon,droog / vochtig,,4.166666666666667,3.0,7.0,4.916666666666667,4.0,6.0,6.416666666666667,5.0,8.0,5.416666666666667,3.0,6.0,7.916666666666667,7.0,9.0,0.0,0.0,0.0,,,,
,Helleborus viridis subsp. occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helminthotheca,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubbelkelk,Helminthotheca echioides,ja,zon,zeer droog / droog / vochtig,,7.75,7.0,9.0,4.40625,1.0,6.25,7.59375,6.0,11.0,6.0,5.0,8.0,7.0,6.0,8.0,0.0,0.0,0.0,,,,
Moerasscherm (G),Helosciadium,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondergedoken moerasscherm,Helosciadium inundatum,ja,zon,zeer nat,,7.0,7.0,7.0,9.666666666666666,9.0,10.0,6.8,6.0,9.0,2.6,2.0,4.0,5.5,5.0,6.0,0.0,0.0,0.0,,,,
Groot moerasscherm,Helosciadium nodiflorum,ja,halfschaduw / zon,zeer nat,,7.142857142857143,6.0,8.0,10.0,9.0,12.0,7.571428571428571,4.0,11.0,6.142857142857143,5.0,7.0,6.75,5.0,8.0,0.5,0.0,1.0,,,,
Kruipend moerasscherm,Helosciadium repens,ja,halfschaduw / zon,nat / zeer nat,,8.142857142857142,6.0,9.0,8.375,7.0,10.0,6.0,3.0,8.0,5.571428571428571,1.0,7.0,6.142857142857143,5.0,7.0,0.5,0.0,1.0,,,,
Daglelie (G),Hemerocallis,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruine daglelie,Hemerocallis fulva,,,,,,,,,,,,,,,,,,,,,,,,,,
Gele daglelie,Hemerocallis lilioasphodelus,,halfschaduw / zon,vochtig / nat / zeer nat,,6.333333333333333,6.0,7.0,7.0,6.0,8.0,6.5,5.0,8.0,5.666666666666667,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,,,,
,Hemizonia kelloggii,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hemizonia pungens,,,,,,,,,,,,,,,,,,,,,,,,,,
Berenklauw (G),Heracleum,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuzenberenklauw,Heracleum mantegazzianum,ja,zon,vochtig,,8.0,7.0,9.0,5.833333333333333,5.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,0.0,0.0,0.0,,,,
Perzische berenklauw,Heracleum persicum,,,,,,,,,,,,,,,,,,,,,,,,,,
Sosnowsky's berenklauw,Heracleum sosnowskyi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heracleum sphondylium subsp. sibiricum,,,,,,,,,,,,,,,,,,,,,,,,,,
Gewone berenklauw,Heracleum sphondylium subsp. sphondylium,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Herminium (G),Herminium,,,,,,,,,,,,,,,,,,,,,,,,,,
Honingorchis,Herminium monorchis,ja,zon,droog / vochtig / nat,,7.285714285714286,7.0,8.0,5.464285714285714,4.0,7.25,4.666666666666667,3.0,5.0,2.8,2.0,4.0,8.0,8.0,8.0,0.0,0.0,0.0,,,,
Breukkruid (G),Herniaria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Herniaria ciliolata,,zon,droog,,9.0,9.0,9.0,4.0,4.0,4.0,,,,1.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,,,,
Kaal breukkruid,Herniaria glabra,ja,zon,zeer droog / droog / vochtig,,8.571428571428571,8.0,9.0,3.482142857142857,2.0,5.5,5.928571428571429,5.0,8.0,2.5,1.0,4.0,4.166666666666667,2.0,6.0,0.0,0.0,0.0,,,,
Behaard breukkruid,Herniaria hirsuta,nee,zon,zeer droog / droog / vochtig,,8.6875,7.0,9.0,3.28125,1.0,5.0,6.861111111111111,5.0,11.0,3.0,1.0,7.0,4.428571428571429,3.0,7.0,0.0,0.0,0.0,,,,
,Herniaria hirsuta subsp. cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,
,Herniaria litardierei,,zon,vochtig,,8.0,8.0,8.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,
Hesperis (G),Hesperis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hesperis bicuspidata,,,,,,,,,,,,,,,,,,,,,,,,,,
Damastbloem,Hesperis matronalis,nee,schaduw / halfschaduw / zon,vochtig / nat / zeer nat,,5.708333333333334,3.0,7.0,6.625,5.75,8.0,5.59375,3.25,7.0,7.142857142857143,6.0,8.0,6.857142857142857,5.0,9.0,0.0,0.0,0.0,,,,
,Heteranthemis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heteranthemis viscidehirta,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heuchera,,,,,,,,,,,,,,,,,,,,,,,,,,
Klein purperklokje,Heuchera micrantha,,,,,,,,,,,,,,,,,,,,,,,,,,
Purperklokje,Heuchera sanguinea,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus (G),Hibiscus,,,,,,,,,,,,,,,,,,,,,,,,,,
Althaeastruik,Hibiscus syriacus,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5A,Löss | Zavel | Lichte klei | Zand | Leem
Drie-urenbloem,Hibiscus trionum,,halfschaduw / zon,droog / vochtig / nat,,7.666666666666667,6.0,9.0,5.0,4.0,7.0,7.821428571428571,5.75,11.0,6.6,5.0,7.0,6.6,6.0,7.0,0.2,0.0,1.0,,,,
Havikskruid (G),Hieracium,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium amplexicaule subsp. amplexicaule,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium caesium,,zon,droog / vochtig,,8.3,7.0,9.0,4.3,4.0,5.5,4.05,3.25,5.0,3.0,3.0,3.0,7.75,7.0,8.0,0.0,0.0,0.0,,,,
,Hieracium cardiophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,
Beklierd havikskruid,Hieracium diaphanoides,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium doryphorum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium eminulum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium glaucinum,,halfschaduw / zon,zeer droog / droog / vochtig,,6.8,5.0,9.0,3.6,1.0,5.0,6.333333333333333,4.0,7.0,2.2,1.0,3.0,4.0,3.0,6.0,0.0,0.0,0.0,,,,
Wijd boshavikskruid,Hieracium laurinum agg.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium limburgense,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium macrodontophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,
Gevlekt havikskruid,Hieracium maculatum,,halfschaduw,droog / vochtig,,5.25,5.0,6.0,4.2,4.0,5.0,6.5,5.0,7.0,3.0,2.0,4.0,4.5,4.0,5.0,0.0,0.0,0.0,,,,
,Hieracium meppelense,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium monstrosum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium nemorivagum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium neopinnatifidum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium pulmonarioides,,,,,,,,,,,,,,,,,,,,,,,,,,
Steenhavikskruid,Hieracium rigens,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium rigidum,,,,,,,,,,,,,,,,,,,,,,,,,,
Stengelomvattend havikskruid,Hieracium sect. Amplexicaulia,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Schermhavikskruid,Hieracium sect. Hieracioides,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Muurhavikskruid,Hieracium sect. Hieracium,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Boshavikskruid,Hieracium sect. Sabauda,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Stijf havikskruid,Hieracium sect. Tridentata,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Dicht havikskruid,Hieracium sect. Vulgata,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Vroeg havikskruid,Hieracium similatum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium speluncarum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium sylvularum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium tridentatum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium triviale,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium vagum,,,,,,,,,,,,,,,,,,,,,,,,,,
Viltig havikskruid,Hieracium villosum,,zon,droog / vochtig,,8.8,8.0,9.0,4.85,3.0,6.25,2.25,2.0,3.25,2.75,2.0,3.0,8.5,7.0,9.0,0.0,0.0,0.0,,,,
Dicht / Stijf havikskruid,Hieracium vulgatum / laevigatum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hieracium weverianum,,,,,,,,,,,,,,,,,,,,,,,,,,
Hierochloe (G),Hierochloe,,,,,,,,,,,,,,,,,,,,,,,,,,
Himantoglossum (G),Himantoglossum,,,,,,,,,,,,,,,,,,,,,,,,,,
Bokkenorchis,Himantoglossum hircinum,ja,zon,zeer droog / droog,,7.4,7.0,9.0,2.8,1.0,4.0,7.2,7.0,8.0,2.0,1.0,3.0,8.6,8.0,9.0,0.0,0.0,0.0,,,,
Hyacintorchis,Himantoglossum robertianum,,halfschaduw / zon,droog / vochtig,,7.333333333333333,6.0,9.0,4.0,3.0,5.0,9.25,8.0,11.0,5.0,5.0,5.0,6.666666666666667,6.0,7.0,0.0,0.0,0.0,,,,
Hippocrepis (G),Hippocrepis,,,,,,,,,,,,,,,,,,,,,,,,,,
Paardenhoefklaver,Hippocrepis comosa,ja,zon,zeer droog / droog / vochtig,,7.75,7.0,9.0,2.9166666666666665,2.0,5.25,5.178571428571429,5.0,6.0,2.0,1.0,3.0,7.428571428571429,7.0,8.0,0.0,0.0,0.0,,,,
Struikpaardenhoefklaver,Hippocrepis emerus,,halfschaduw / zon,droog / vochtig,,6.916666666666667,6.0,7.5,3.625,3.0,4.75,6.976190476190475,6.0,11.0,3.0,2.0,5.0,8.6,8.0,9.0,0.2,0.0,1.0,,,,
,Hippocrepis unisiliquosa,,zon,zeer droog / droog,,8.0,8.0,8.0,2.5,1.0,4.0,11.0,11.0,11.0,5.0,5.0,5.0,8.0,8.0,8.0,0.0,0.0,0.0,,,,
Hippophae (G),Hippophae,,,,,,,,,,,,,,,,,,,,,,,,,,
Duindoorn,Hippophae rhamnoides,ja,zon,droog / vochtig / nat,,8.6,8.0,9.0,4.875,4.0,7.0,5.966666666666666,5.5,7.0,3.0,2.0,5.0,8.0,7.0,9.0,0.75,0.0,3.0,4.0,4.0,4A,Löss | Zavel | Veen | Lichte klei | Zand | Leem
Duindoorn (subsp. fluviatilis),Hippophae rhamnoides subsp. fluviatilis,,,,,,,,,,,,,,,,,,,,,,,,,,
Duindoorn (subsp. rhamnoides),Hippophae rhamnoides subsp. rhamnoides,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippuris (G),Hippuris,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidsteng,Hippuris vulgaris,ja,zon,zeer nat,,7.142857142857143,7.0,8.0,10.5,10.0,12.0,5.142857142857143,5.0,6.0,4.8,4.0,6.0,7.285714285714286,5.0,8.0,0.2857142857142857,0.0,1.0,,,,
Hirschfeldia (G),Hirschfeldia,,,,,,,,,,,,,,,,,,,,,,,,,,
Grijze mosterd,Hirschfeldia incana,nee,zon,zeer droog / droog,,8.4375,8.0,9.0,3.03125,1.0,4.25,7.9375,6.0,11.0,5.571428571428571,5.0,6.0,7.142857142857143,7.0,8.0,0.0,0.0,0.0,,,,
Witbol (G),Holcus,,,,,,,,,,,,,,,,,,,,,,,,,,
Gestreepte witbol,Holcus lanatus,ja,halfschaduw / zon,droog / vochtig / nat,,7.15,6.0,9.0,5.75,4.0,7.25,5.875,4.75,11.0,4.666666666666667,3.0,6.0,5.5,4.0,6.0,0.5,0.0,1.0,,,,
Gladde witbol,Holcus mollis,ja,halfschaduw / zon,vochtig / nat,,6.25,5.0,9.0,5.583333333333333,5.0,7.0,5.625,5.0,9.0,3.0,2.0,4.0,2.7142857142857144,2.0,4.0,0.0,0.0,0.0,,,,
,Holcus x hybridus,,,,,,,,,,,,,,,,,,,,,,,,,,
Pluimspirea,Holodiscus discolor,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,6A,Löss | Zavel | Zand | Leem
,Holodiscus dumosus,,,,,,,,,,,,,,,,,,,,,,,,,,
Holosteum (G),Holosteum,,,,,,,,,,,,,,,,,,,,,,,,,,
Heelbeen,Holosteum umbellatum,ja,zon,zeer droog / droog / vochtig,,8.34375,7.5,9.0,3.203125,1.0,5.0,6.402777777777778,5.5,9.0,2.857142857142857,2.0,4.0,7.0,6.0,8.0,0.0,0.0,0.0,,,,
Honckenya (G),Honckenya,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeepostelein,Honckenya peploides,ja,zon,vochtig,,8.75,8.0,9.0,5.75,5.0,6.0,5.333333333333333,4.0,6.0,6.75,6.0,7.0,7.0,7.0,7.0,4.5,3.0,5.0,,,,
Hordelymus (G),Hordelymus,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosgerst,Hordelymus europaeus,,schaduw / halfschaduw,droog / vochtig / nat / zeer nat,,4.0,3.0,6.0,5.361111111111111,4.0,8.0,5.027777777777778,4.0,6.0,5.5,3.0,7.0,7.125,6.0,9.0,0.42857142857142855,0.0,3.0,,,,
,Hordeum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hordeum brevisubulatum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hordeum chilense,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hordeum comosum,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevaliergerst,Hordeum distichon,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hordeum euclaston,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwispelgerst,Hordeum jubatum,nee,,,,,,,,,,,,,,,,,,,,,,,,,
Zeegerst,Hordeum marinum,ja,zon,zeer droog / droog / vochtig / nat / zeer nat,,8.857142857142858,8.0,9.0,4.857142857142857,1.0,8.0,7.0,4.0,11.0,5.428571428571429,3.0,7.0,6.857142857142857,5.0,8.0,4.666666666666667,0.0,6.0,,,,
,Hordeum marinum subsp. gussoneanum,,,,,,,,,,,,,,,,,,,,,,,,,,
Kruipertje,Hordeum murinum,ja,zon,zeer droog / droog / vochtig,,8.075,7.0,9.0,3.875,1.0,5.0,7.366666666666665,5.0,11.0,6.444444444444445,5.0,9.0,6.888888888888889,5.0,8.0,0.40625,0.0,2.0,,,,
Zuidelijk kruipertje,Hordeum murinum subsp. leporinum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hordeum pusillum,,,,,,,,,,,,,,,,,,,,,,,,,,
Veldgerst,Hordeum secalinum,ja,zon,zeer droog / droog / vochtig / nat,,8.2,8.0,9.0,5.2,2.0,7.0,6.8,5.0,8.0,5.2,4.0,6.0,5.8,5.0,7.0,1.6,0.0,4.0,,,,
Gerst,Hordeum vulgare,,zon,droog / vochtig,,8.275,8.0,9.0,4.5,4.0,5.0,7.916666666666668,6.0,11.0,6.2,5.0,7.0,6.75,5.0,8.0,0.0,0.0,0.0,,,,
,Hornungia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hornungia pauciflora,,zon,droog,,8.0,8.0,8.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
,Hornungia petraea,,zon,zeer droog / droog,,8.285714285714286,7.0,9.0,1.9642857142857142,1.0,3.75,7.25,5.75,9.0,1.6666666666666667,1.0,3.0,7.833333333333333,6.0,9.0,0.0,0.0,0.0,,,,
