naam,wetenschappelijke_naam,inheems,standplaats_licht,vocht,bodem,ellenberg_l,ellenberg_l_min,ellenberg_l_max,ellenberg_f,ellenberg_f_min,ellenberg_f_max,ellenberg_t,ellenberg_t_min,ellenberg_t_max,ellenberg_n,ellenberg_n_min,ellenberg_n_max,ellenberg_r,ellenberg_r_min,ellenberg_r_max,ellenberg_s,ellenberg_s_min,ellenberg_s_max,hoogte,breedte,winterhardheidszone,grondsoorten
Kalmoes,Acorus calamus,ja,zon,zeer nat,,8.0,8.0,8.0,9.78125,9.0,10.0,6.321428571428571,5.25,7.0,7.166666666666667,7.0,8.0,7.0,7.0,7.0,0.16666666666666666,0.0,1.0,,,,
Actaea (G),Actaea,,,,,,,,,,,,,,,,,,,,,,,,,,
Christoffelkruid,Actaea spicata,ja,schaduw / halfschaduw,vochtig / nat,,2.9375,2.0,4.5,5.375,5.0,7.0,4.53125,3.0,5.0,6.571428571428571,5.0,7.0,6.857142857142857,6.0,9.0,0.0,0.0,0.0,,,,
,Actinidia,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwi,Actinidia deliciosa,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenocarpus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenocarpus complicatus,,zon,zeer droog / droog,,8.25,7.0,9.0,3.4166666666666665,2.0,4.0,7.604166666666668,6.0,9.0,2.5555555555555567,1.0,4.0,2.6111111111111103,2.0,4.0,0.0,0.0,0.0,,,,
,Adenostyles,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenostyles alpina,,schaduw / halfschaduw / zon,vochtig / nat,,5.75,3.0,7.0,6.6875,6.0,7.0,3.0,2.0,6.0,7.083333333333333,6.0,8.0,7.333333333333333,6.0,8.0,0.0,0.0,0.0,,,,
Venushaar (G),Adiantum,,,,,,,,,,,,,,,,,,,,,,,,,,
Noordelijke hoefijzervaren,Adiantum aleuticum,,,,,,,,,,,,,,,,,,,,,,,,,,
Echt venushaar,Adiantum capillus-veneris,,schaduw / halfschaduw / zon,vochtig / nat / zeer nat,,4.583333333333333,2.0,7.5,7.583333333333333,6.0,9.0,7.958333333333333,6.0,11.0,2.8,1.0,5.0,7.0,5.0,9.0,0.0,0.0,0.0,,,,
Hoefijzervaren,Adiantum pedatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Fijn venushaar,Adiantum raddianum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adiantum venustum,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonis (G),Adonis,,,,,,,,,,,,,,,,,,,,,,,,,,
Zomeradonis,Adonis aestivalis,ja,halfschaduw / zon,droog / vochtig,,7.0,6.0,8.0,3.4583333333333335,3.0,4.75,6.428571428571429,6.0,8.0,3.8,3.0,5.0,7.8,7.0,8.0,0.0,0.0,0.0,,,,
Herfstadonis,Adonis annua,,zon,droog / vochtig,,7.6,7.0,8.0,4.0,3.0,5.0,7.716666666666666,6.0,11.0,5.0,4.0,6.0,6.5,5.0,7.0,0.0,0.0,0.0,,,,
Kooltje-vuur,Adonis flammea,,halfschaduw / zon,droog,,7.0,6.0,8.0,3.375,3.0,4.25,6.428571428571429,6.0,8.0,3.2,2.0,5.0,8.6,8.0,9.0,0.0,0.0,0.0,,,,
Voorjaarsadonis,Adonis vernalis,,zon,droog,,7.6,7.0,8.0,3.25,3.0,4.25,6.708333333333333,5.25,9.0,1.5,1.0,2.0,7.5,7.0,8.0,0.0,0.0,0.0,,,,
Adoxa (G),Adoxa,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskuskruid,Adoxa moschatellina,ja,schaduw / halfschaduw,vochtig / nat,,4.3125,3.0,5.0,6.125,5.0,7.0,4.75,4.0,5.0,7.285714285714286,5.0,8.0,6.857142857142857,6.0,7.0,0.0,0.0,0.0,,,,
,Aegilops,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aegilops caudata,,zon,droog / vochtig,,8.0,8.0,8.0,4.5,4.0,5.0,11.0,11.0,11.0,4.0,3.0,5.0,7.5,7.0,8.0,0.0,0.0,0.0,,,,
Eennaaldgeitenoog,Aegilops cylindrica,,zon,zeer droog / droog,,8.6,8.0,9.0,2.75,1.0,4.0,8.416666666666666,5.5,11.0,4.0,2.0,5.0,6.0,5.0,7.0,0.0,0.0,0.0,,,,
,Aegilops neglecta,,zon,zeer droog / droog / vochtig,,8.0,7.0,9.0,2.9375,1.0,5.0,9.55,6.75,12.0,5.333333333333333,4.0,7.0,7.333333333333333,7.0,8.0,0.0,0.0,0.0,,,,
,Aegilops speltoides,,zon,vochtig,,8.0,8.0,8.0,5.0,5.0,5.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,,,,
,Aegilops triuncialis,,zon,zeer droog / droog,,8.25,8.0,9.0,2.9375,1.0,4.0,8.95,6.75,11.0,5.666666666666667,5.0,7.0,6.333333333333333,5.0,7.0,0.0,0.0,0.0,,,,
,Aegilops ventricosa,,zon,zeer droog / droog,,8.5,8.0,9.0,2.0,1.0,3.0,9.0,9.0,9.0,6.0,5.0,7.0,6.0,5.0,7.0,0.0,0.0,0.0,,,,
Aegopodium (G),Aegopodium,,,,,,,,,,,,,,,,,,,,,,,,,,
Zevenblad,Aegopodium podagraria,ja,schaduw / halfschaduw,vochtig / nat,,4.928571428571429,3.5,6.0,6.0,5.0,7.0,4.958333333333333,4.0,6.0,7.666666666666667,7.0,8.0,6.666666666666667,6.0,7.0,0.16666666666666666,0.0,1.0,,,,
,Aesculus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aesculus flava,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,6A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Witte paardenkastanje,Aesculus hippocastanum,nee,halfschaduw / zon,droog / vochtig / nat,,5.416666666666667,4.0,7.0,5.458333333333333,4.0,7.0,6.416666666666667,6.0,7.0,6.6,5.0,7.0,5.8,5.0,7.0,0.0,0.0,0.0,20.0,16.0,4A,Löss | Zavel | Lichte klei | Zand | Leem
Herfst-paardenkastanje,Aesculus parviflora,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,6B,Löss | Zavel | Veen | Lichte klei | Zand | Leem
Rode pavia,Aesculus pavia,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,6B,Löss | Zavel | Veen | Lichte klei | Zand | Leem
Rode paardenkastanje,Aesculus x carnea,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,6A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
,Aethionema,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aethionema arabicum,,zon,zeer droog,,8.0,8.0,8.0,1.0,1.0,1.0,11.0,11.0,11.0,2.0,2.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,,,,
Aethusa (G),Aethusa,,,,,,,,,,,,,,,,,,,,,,,,,,
Hondspeterselie,Aethusa cynapium,ja,halfschaduw / zon,droog / vochtig,,6.257142857142857,5.0,7.0,5.1499999999999995,4.0,6.25,5.269047619047619,4.0,7.0,6.722222222222221,5.0,8.0,7.466666666666666,7.0,9.0,0.0,0.0,0.0,,,,
,Agastache,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekka-balsem,Agastache aurantiaca,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropnetel,Agastache foeniculum,,,,,,,,,,,,,,,,,,,,,,,,,,
Koreaanse netel,Agastache rugosa,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agastache urticifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ageratum,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratum,Ageratum houstonianum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agoseris,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agoseris grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrimonie (G),Agrimonia,,,,,,,,,,,,,,,,,,,,,,,,,,
Gewone agrimonie,Agrimonia eupatoria,ja,halfschaduw / zon,droog / vochtig,,7.111111111111111,6.0,9.0,4.12037037037037,3.0,5.75,6.402777777777778,5.0,11.0,3.857142857142857,3.0,4.0,7.285714285714286,6.0,8.0,0.14285714285714285,0.0,1.0,,,,
Welriekende agrimonie,Agrimonia procera,ja,halfschaduw / zon,vochtig,,5.642857142857143,5.0,6.5,5.28125,5.0,6.25,5.791666666666667,4.75,8.0,4.8,4.0,5.0,6.5,6.0,7.0,0.0,0.0,0.0,,,,
,Agropogon (x),,,,,,,,,,,,,,,,,,,,,,,,,,
Fioringras x Baardgras,Agropogon lutosus (x),,,,,,,,,,,,,,,,,,,,,,,,,,
,Agropyron,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamdragende tarwe,Agropyron cristatum,,zon,zeer droog / droog,,8.375,8.0,9.0,2.5,1.0,4.25,6.725,5.0,8.0,2.3333333333333335,1.0,3.0,7.333333333333333,6.0,8.0,0.0,0.0,0.0,,,,
Agrostemma (G),Agrostemma,,,,,,,,,,,,,,,,,,,,,,,,,,
Oosterse bolderik,Agrostemma brachyloba,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolderik,Agrostemma githago,ja,zon,zeer droog / droog / vochtig,,7.333333333333333,7.0,9.0,3.9166666666666665,1.0,5.5,5.875,5.0,7.0,5.0,3.0,6.0,6.333333333333333,5.0,8.0,0.0,0.0,0.0,,,,
Struisgras (G),Agrostis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agrostis alpina,,zon,vochtig,,8.1,8.0,8.5,5.166666666666667,5.0,6.0,1.9583333333333333,1.0,2.75,4.25,3.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,,,,
,Agrostis avenacea,,,,,,,,,,,,,,,,,,,,,,,,,,
